week,subtype,count
2013-04-01,A,0
2013-04-08,A,0
2013-04-15,A,0
2013-04-22,A,0
2013-04-29,A,0
2013-05-06,A,0
2013-05-13,A,0
2013-05-20,A,0
2013-05-27,A,0
2013-06-03,A,0
2013-06-10,A,0
2013-06-17,A,2
2013-06-24,A,0
2013-07-01,A,0
2013-07-08,A,2
2013-07-15,A,1
2013-07-22,A,1
2013-07-29,A,0
2013-08-05,A,1
2013-08-12,A,1
2013-08-19,A,2
2013-08-26,A,1
2013-09-02,A,1
2013-09-09,A,0
2013-09-16,A,0
2013-09-23,A,4
2013-09-30,A,2
2013-10-07,A,4
2013-10-14,A,2
2013-10-21,A,1
2013-10-28,A,1
2013-11-04,A,6
2013-11-11,A,1
2013-11-18,A,2
2013-11-25,A,7
2013-12-02,A,3
2013-12-09,A,0
2013-12-16,A,4
2013-12-23,A,1
2013-12-30,A,1
2014-01-06,A,3
2014-01-13,A,0
2014-01-20,A,0
2014-01-27,A,0
2014-02-03,A,1
2014-02-10,A,0
2014-02-17,A,1
2014-02-24,A,0
2014-03-03,A,0
2014-03-10,A,0
2014-03-17,A,0
2014-03-24,A,1
2014-03-31,A,1
2014-04-07,A,1
2014-04-14,A,0
2014-04-21,A,0
2014-04-28,A,0
2014-05-05,A,0
2014-05-12,A,0
2014-05-19,A,0
2014-05-26,A,0
2014-06-02,A,0
2014-06-09,A,0
2014-06-16,A,0
2014-06-23,A,0
2014-06-30,A,0
2014-07-07,A,1
2014-07-14,A,0
2014-07-21,A,0
2014-07-28,A,0
2014-08-04,A,0
2014-08-11,A,0
2014-08-18,A,0
2014-08-25,A,0
2014-09-01,A,0
2014-09-08,A,0
2014-09-15,A,0
2014-09-22,A,0
2014-09-29,A,0
2014-10-06,A,0
2014-10-13,A,0
2014-10-20,A,0
2014-10-27,A,0
2014-11-03,A,0
2014-11-10,A,0
2014-11-17,A,0
2014-11-24,A,2
2014-12-01,A,0
2014-12-08,A,0
2014-12-15,A,0
2014-12-22,A,0
2014-12-29,A,0
2015-01-05,A,0
2015-01-12,A,0
2015-01-19,A,0
2015-01-26,A,1
2015-02-02,A,2
2015-02-09,A,4
2015-02-16,A,2
2015-02-23,A,2
2015-03-02,A,4
2015-03-09,A,3
2015-03-16,A,0
2015-03-23,A,2
2015-03-30,A,6
2015-04-06,A,3
2015-04-13,A,2
2015-04-20,A,0
2015-04-27,A,0
2015-05-04,A,1
2015-05-11,A,1
2015-05-18,A,1
2015-05-25,A,0
2015-06-01,A,0
2015-06-08,A,0
2015-06-15,A,0
2015-06-22,A,0
2015-06-29,A,0
2015-07-06,A,1
2015-07-13,A,0
2015-07-20,A,0
2015-07-27,A,0
2015-08-03,A,0
2015-08-10,A,0
2015-08-17,A,0
2015-08-24,A,0
2015-08-31,A,0
2015-09-07,A,0
2015-09-14,A,0
2015-09-21,A,0
2015-09-28,A,0
2015-10-05,A,0
2015-10-12,A,1
2015-10-19,A,2
2015-10-26,A,1
2015-11-02,A,1
2015-11-09,A,0
2015-11-16,A,1
2015-11-23,A,0
2015-11-30,A,3
2015-12-07,A,7
2015-12-14,A,8
2015-12-21,A,5
2015-12-28,A,12
2016-01-04,A,17
2016-01-11,A,14
2016-01-18,A,19
2016-01-25,A,16
2016-02-01,A,17
2016-02-08,A,16
2016-02-15,A,21
2016-02-22,A,24
2016-02-29,A,45
2016-03-07,A,21
2016-03-14,A,15
2016-03-21,A,17
2016-03-28,A,11
2016-04-04,A,11
2016-04-11,A,3
2016-04-18,A,3
2016-04-25,A,3
2016-05-02,A,1
2016-05-09,A,2
2016-05-16,A,4
2016-05-23,A,5
2016-05-30,A,1
2016-06-06,A,1
2016-06-13,A,1
2016-06-20,A,1
2016-06-27,A,0
2016-07-04,A,0
2016-07-11,A,0
2016-07-18,A,0
2016-07-25,A,0
2016-08-01,A,0
2016-08-08,A,0
2016-08-15,A,0
2016-08-22,A,0
2016-08-29,A,0
2016-09-05,A,0
2016-09-12,A,0
2016-09-19,A,0
2016-09-26,A,0
2016-10-03,A,0
2016-10-10,A,0
2016-10-17,A,0
2016-10-24,A,0
2016-10-31,A,5
2016-11-07,A,11
2016-11-14,A,13
2016-11-21,A,22
2016-11-28,A,39
2016-12-05,A,32
2016-12-12,A,34
2016-12-19,A,17
2016-12-26,A,30
2017-01-02,A,58
2017-01-09,A,26
2017-01-16,A,16
2017-01-23,A,15
2017-01-30,A,53
2017-02-06,A,27
2017-02-13,A,9
2017-02-20,A,9
2017-02-27,A,35
2017-03-06,A,21
2017-03-13,A,11
2017-03-20,A,6
2017-03-27,A,0
2017-04-03,A,0
2017-04-10,A,1
2017-04-17,A,0
2017-04-24,A,1
2017-05-01,A,1
2017-05-08,A,1
2017-05-15,A,0
2017-05-22,A,1
2017-05-29,A,1
2017-06-05,A,1
2017-06-12,A,1
2017-06-19,A,0
2017-06-26,A,0
2017-07-03,A,0
2017-07-10,A,0
2017-07-17,A,0
2017-07-24,A,0
2017-07-31,A,0
2017-08-07,A,0
2017-08-14,A,0
2017-08-21,A,0
2017-08-28,A,0
2017-09-04,A,0
2017-09-11,A,0
2017-09-18,A,0
2017-09-25,A,0
2017-10-02,A,0
2017-10-09,A,0
2017-10-16,A,0
2017-10-23,A,0
2017-10-30,A,9
2017-11-06,A,5
2017-11-13,A,12
2017-11-20,A,13
2017-11-27,A,24
2017-12-04,A,25
2017-12-11,A,17
2017-12-18,A,9
2017-12-25,A,4
2018-01-01,A,35
2018-01-08,A,10
2018-01-15,A,5
2018-01-22,A,6
2018-01-29,A,22
2018-02-05,A,24
2018-02-12,A,6
2018-02-19,A,2
2018-02-26,A,10
2018-03-05,A,10
2018-03-12,A,7
2018-03-19,A,2
2018-03-26,A,3
2018-04-02,A,0
2018-04-09,A,0
2018-04-16,A,0
2018-04-23,A,0
2018-04-30,A,0
2018-05-07,A,0
2018-05-14,A,0
2018-05-21,A,0
2018-05-28,A,0
2018-06-04,A,0
2018-06-11,A,0
2018-06-18,A,0
2018-06-25,A,0
2018-07-02,A,0
2018-07-09,A,0
2018-07-16,A,0
2018-07-23,A,0
2018-07-30,A,0
2018-08-06,A,0
2018-08-13,A,0
2018-08-20,A,0
2018-08-27,A,0
2018-09-03,A,0
2018-09-10,A,0
2018-09-17,A,0
2018-09-24,A,0
2018-10-01,A,0
2018-10-08,A,0
2018-10-15,A,0
2018-10-22,A,0
2018-10-29,A,14
2018-11-05,A,16
2018-11-12,A,11
2018-11-19,A,11
2018-11-26,A,15
2018-12-03,A,38
2018-12-10,A,14
2018-12-17,A,6
2018-12-24,A,8
2018-12-31,A,42
2019-01-07,A,29
2019-01-14,A,5
2019-01-21,A,9
2019-01-28,A,31
2019-02-04,A,36
2019-02-11,A,17
2019-02-18,A,4
2019-02-25,A,20
2019-03-04,A,13
2019-03-11,A,23
2019-03-18,A,3
2019-03-25,A,7
2019-04-01,A,1
2019-04-08,A,0
2019-04-15,A,0
2019-04-22,A,0
2019-04-29,A,0
2019-05-06,A,0
2019-05-13,A,0
2019-05-20,A,0
2019-05-27,A,0
2019-06-03,A,0
2019-06-10,A,0
2019-06-17,A,0
2019-06-24,A,0
2019-07-01,A,0
2019-07-08,A,0
2019-07-15,A,0
2019-07-22,A,1
2019-07-29,A,0
2019-08-05,A,0
2019-08-12,A,0
2019-08-19,A,0
2019-08-26,A,0
2019-09-02,A,1
2019-09-09,A,1
2019-09-16,A,0
2019-09-23,A,0
2019-09-30,A,0
2019-10-07,A,1
2019-10-14,A,0
2019-10-21,A,1
2019-10-28,A,42
2019-11-04,A,49
2019-11-11,A,28
2019-11-18,A,20
2019-11-25,A,46
2019-12-02,A,99
2019-12-09,A,59
2019-12-16,A,47
2019-12-23,A,56
2019-12-30,A,94
2020-01-06,A,53
2020-01-13,A,54
2020-01-20,A,35
2020-01-27,A,56
2020-02-03,A,77
2020-02-10,A,42
2020-02-17,A,29
2020-02-24,A,31
2020-03-02,A,67
2020-03-09,A,28
2020-03-16,A,13
2013-04-01,B,0
2013-04-08,B,0
2013-04-15,B,0
2013-04-22,B,0
2013-04-29,B,0
2013-05-06,B,0
2013-05-13,B,0
2013-05-20,B,0
2013-05-27,B,0
2013-06-03,B,0
2013-06-10,B,0
2013-06-17,B,7
2013-06-24,B,2
2013-07-01,B,1
2013-07-08,B,3
2013-07-15,B,2
2013-07-22,B,1
2013-07-29,B,3
2013-08-05,B,1
2013-08-12,B,5
2013-08-19,B,3
2013-08-26,B,2
2013-09-02,B,0
2013-09-09,B,0
2013-09-16,B,2
2013-09-23,B,4
2013-09-30,B,3
2013-10-07,B,5
2013-10-14,B,5
2013-10-21,B,4
2013-10-28,B,5
2013-11-04,B,0
2013-11-11,B,5
2013-11-18,B,8
2013-11-25,B,4
2013-12-02,B,6
2013-12-09,B,6
2013-12-16,B,4
2013-12-23,B,3
2013-12-30,B,2
2014-01-06,B,6
2014-01-13,B,8
2014-01-20,B,7
2014-01-27,B,3
2014-02-03,B,2
2014-02-10,B,0
2014-02-17,B,0
2014-02-24,B,0
2014-03-03,B,0
2014-03-10,B,0
2014-03-17,B,1
2014-03-24,B,0
2014-03-31,B,0
2014-04-07,B,2
2014-04-14,B,0
2014-04-21,B,0
2014-04-28,B,0
2014-05-05,B,0
2014-05-12,B,0
2014-05-19,B,0
2014-05-26,B,0
2014-06-02,B,0
2014-06-09,B,0
2014-06-16,B,0
2014-06-23,B,0
2014-06-30,B,0
2014-07-07,B,0
2014-07-14,B,0
2014-07-21,B,0
2014-07-28,B,0
2014-08-04,B,0
2014-08-11,B,0
2014-08-18,B,0
2014-08-25,B,0
2014-09-01,B,0
2014-09-08,B,0
2014-09-15,B,0
2014-09-22,B,0
2014-09-29,B,0
2014-10-06,B,0
2014-10-13,B,0
2014-10-20,B,1
2014-10-27,B,1
2014-11-03,B,0
2014-11-10,B,0
2014-11-17,B,2
2014-11-24,B,1
2014-12-01,B,0
2014-12-08,B,2
2014-12-15,B,6
2014-12-22,B,1
2014-12-29,B,2
2015-01-05,B,1
2015-01-12,B,1
2015-01-19,B,5
2015-01-26,B,6
2015-02-02,B,7
2015-02-09,B,7
2015-02-16,B,5
2015-02-23,B,13
2015-03-02,B,7
2015-03-09,B,4
2015-03-16,B,6
2015-03-23,B,6
2015-03-30,B,4
2015-04-06,B,2
2015-04-13,B,0
2015-04-20,B,0
2015-04-27,B,0
2015-05-04,B,0
2015-05-11,B,0
2015-05-18,B,0
2015-05-25,B,0
2015-06-01,B,0
2015-06-08,B,0
2015-06-15,B,0
2015-06-22,B,0
2015-06-29,B,0
2015-07-06,B,0
2015-07-13,B,0
2015-07-20,B,0
2015-07-27,B,0
2015-08-03,B,0
2015-08-10,B,0
2015-08-17,B,0
2015-08-24,B,0
2015-08-31,B,0
2015-09-07,B,0
2015-09-14,B,0
2015-09-21,B,0
2015-09-28,B,0
2015-10-05,B,0
2015-10-12,B,0
2015-10-19,B,0
2015-10-26,B,0
2015-11-02,B,0
2015-11-09,B,1
2015-11-16,B,1
2015-11-23,B,0
2015-11-30,B,2
2015-12-07,B,0
2015-12-14,B,2
2015-12-21,B,6
2015-12-28,B,8
2016-01-04,B,9
2016-01-11,B,16
2016-01-18,B,14
2016-01-25,B,11
2016-02-01,B,17
2016-02-08,B,16
2016-02-15,B,21
2016-02-22,B,16
2016-02-29,B,20
2016-03-07,B,6
2016-03-14,B,9
2016-03-21,B,17
2016-03-28,B,7
2016-04-04,B,7
2016-04-11,B,4
2016-04-18,B,1
2016-04-25,B,0
2016-05-02,B,1
2016-05-09,B,1
2016-05-16,B,0
2016-05-23,B,3
2016-05-30,B,1
2016-06-06,B,1
2016-06-13,B,0
2016-06-20,B,0
2016-06-27,B,1
2016-07-04,B,0
2016-07-11,B,0
2016-07-18,B,0
2016-07-25,B,0
2016-08-01,B,0
2016-08-08,B,0
2016-08-15,B,0
2016-08-22,B,0
2016-08-29,B,0
2016-09-05,B,0
2016-09-12,B,0
2016-09-19,B,0
2016-09-26,B,0
2016-10-03,B,0
2016-10-10,B,1
2016-10-17,B,1
2016-10-24,B,1
2016-10-31,B,11
2016-11-07,B,22
2016-11-14,B,28
2016-11-21,B,23
2016-11-28,B,30
2016-12-05,B,32
2016-12-12,B,19
2016-12-19,B,30
2016-12-26,B,27
2017-01-02,B,56
2017-01-09,B,26
2017-01-16,B,24
2017-01-23,B,16
2017-01-30,B,47
2017-02-06,B,45
2017-02-13,B,22
2017-02-20,B,14
2017-02-27,B,40
2017-03-06,B,39
2017-03-13,B,15
2017-03-20,B,10
2017-03-27,B,4
2017-04-03,B,1
2017-04-10,B,1
2017-04-17,B,0
2017-04-24,B,2
2017-05-01,B,0
2017-05-08,B,0
2017-05-15,B,0
2017-05-22,B,0
2017-05-29,B,0
2017-06-05,B,0
2017-06-12,B,0
2017-06-19,B,0
2017-06-26,B,0
2017-07-03,B,0
2017-07-10,B,0
2017-07-17,B,0
2017-07-24,B,0
2017-07-31,B,0
2017-08-07,B,0
2017-08-14,B,0
2017-08-21,B,0
2017-08-28,B,0
2017-09-04,B,0
2017-09-11,B,0
2017-09-18,B,0
2017-09-25,B,0
2017-10-02,B,0
2017-10-09,B,0
2017-10-16,B,0
2017-10-23,B,0
2017-10-30,B,17
2017-11-06,B,31
2017-11-13,B,29
2017-11-20,B,22
2017-11-27,B,36
2017-12-04,B,52
2017-12-11,B,22
2017-12-18,B,20
2017-12-25,B,8
2018-01-01,B,82
2018-01-08,B,22
2018-01-15,B,14
2018-01-22,B,11
2018-01-29,B,41
2018-02-05,B,43
2018-02-12,B,21
2018-02-19,B,5
2018-02-26,B,52
2018-03-05,B,60
2018-03-12,B,13
2018-03-19,B,9
2018-03-26,B,5
2018-04-02,B,0
2018-04-09,B,0
2018-04-16,B,0
2018-04-23,B,0
2018-04-30,B,0
2018-05-07,B,0
2018-05-14,B,0
2018-05-21,B,0
2018-05-28,B,0
2018-06-04,B,0
2018-06-11,B,0
2018-06-18,B,0
2018-06-25,B,0
2018-07-02,B,0
2018-07-09,B,0
2018-07-16,B,0
2018-07-23,B,0
2018-07-30,B,0
2018-08-06,B,0
2018-08-13,B,1
2018-08-20,B,0
2018-08-27,B,0
2018-09-03,B,0
2018-09-10,B,0
2018-09-17,B,0
2018-09-24,B,0
2018-10-01,B,0
2018-10-08,B,0
2018-10-15,B,0
2018-10-22,B,0
2018-10-29,B,17
2018-11-05,B,34
2018-11-12,B,21
2018-11-19,B,20
2018-11-26,B,26
2018-12-03,B,69
2018-12-10,B,25
2018-12-17,B,7
2018-12-24,B,9
2018-12-31,B,75
2019-01-07,B,29
2019-01-14,B,8
2019-01-21,B,13
2019-01-28,B,43
2019-02-04,B,34
2019-02-11,B,10
2019-02-18,B,12
2019-02-25,B,30
2019-03-04,B,33
2019-03-11,B,20
2019-03-18,B,4
2019-03-25,B,7
2019-04-01,B,1
2019-04-08,B,1
2019-04-15,B,0
2019-04-22,B,2
2019-04-29,B,1
2019-05-06,B,0
2019-05-13,B,0
2019-05-20,B,0
2019-05-27,B,0
2019-06-03,B,0
2019-06-10,B,0
2019-06-17,B,0
2019-06-24,B,0
2019-07-01,B,0
2019-07-08,B,1
2019-07-15,B,0
2019-07-22,B,1
2019-07-29,B,0
2019-08-05,B,0
2019-08-12,B,0
2019-08-19,B,0
2019-08-26,B,0
2019-09-02,B,0
2019-09-09,B,0
2019-09-16,B,0
2019-09-23,B,0
2019-09-30,B,0
2019-10-07,B,0
2019-10-14,B,1
2019-10-21,B,0
2019-10-28,B,6
2019-11-04,B,16
2019-11-11,B,13
2019-11-18,B,6
2019-11-25,B,14
2019-12-02,B,27
2019-12-09,B,19
2019-12-16,B,14
2019-12-23,B,9
2019-12-30,B,18
2020-01-06,B,24
2020-01-13,B,21
2020-01-20,B,15
2020-01-27,B,16
2020-02-03,B,22
2020-02-10,B,16
2020-02-17,B,8
2020-02-24,B,8
2020-03-02,B,19
2020-03-09,B,10
2020-03-16,B,0
