Date,Price,Open,High,Low,Vol.,Change %
02-09-2026,90.756,90.518,90.811,90.373,,0.18%
02-06-2026,90.596,90.315,90.845,90.173,,0.31%
02-05-2026,90.319,90.362,90.521,90.063,,-0.08%
02-04-2026,90.391,90.377,90.535,90.233,,-0.04%
02-03-2026,90.423,90.328,90.52,90.022,,-0.94%
02-02-2026,91.285,91.778,92.023,91.28,,-0.45%
01/30/2026,91.694,91.87,92.027,91.667,,-0.10%
01/29/2026,91.782,92.031,92.129,91.779,,-0.28%
01/28/2026,92.043,91.54,92.22,91.418,,0.62%
01/27/2026,91.474,91.775,91.896,91.472,,-0.26%
01/26/2026,91.713,91.531,91.79,91.5,,0.04%
01/23/2026,91.675,91.559,91.988,91.415,,0.11%
01/22/2026,91.57,91.537,91.681,91.279,,0.03%
01/21/2026,91.546,91.055,91.753,90.998,,0.47%
01/20/2026,91.119,90.905,91.119,90.871,,0.24%
01/19/2026,90.902,90.717,91.015,90.61,,0.21%
01/16/2026,90.709,90.318,90.891,90.318,,0.38%
01/15/2026,90.362,90.19,90.439,90.181,,0.13%
01/14/2026,90.248,90.265,90.391,89.983,,-0.04%
01/13/2026,90.282,90.233,90.351,90.165,,0.17%
01-12-2026,90.132,90.257,90.272,90.117,,-0.12%
01-09-2026,90.244,89.883,90.318,89.855,,0.38%
01-08-2026,89.905,89.852,90.132,89.73,,0.05%
01-07-2026,89.864,90.166,90.232,89.807,,-0.27%
01-06-2026,90.108,90.231,90.264,90.05,,-0.14%
01-05-2026,90.233,90.131,90.311,90.095,,0.24%
01-02-2026,90.014,89.942,90.255,89.864,,0.05%
01-01-2026,89.968,89.955,89.993,89.865,,0.11%
12/31/2025,89.871,89.78,90.001,89.727,,0.11%
12/30/2025,89.77,89.974,90.02,89.687,,-0.14%
12/29/2025,89.9,89.837,89.993,89.83,,0.12%
12/26/2025,89.796,89.753,89.962,89.697,,0.07%
12/25/2025,89.736,89.735,89.736,89.735,,-0.09%
12/24/2025,89.814,89.534,89.86,89.419,,0.42%
12/23/2025,89.436,89.563,89.851,89.411,,-0.19%
12/22/2025,89.604,89.542,89.768,89.446,,0.03%
12/19/2025,89.577,90.238,90.302,89.255,,-0.76%
12/18/2025,90.267,90.389,90.464,90.042,,-0.16%
12/17/2025,90.409,91.02,91.075,89.906,,-0.59%
12/16/2025,90.949,90.777,91.082,90.71,,0.19%
12/15/2025,90.775,90.55,90.793,90.51,,0.21%
12-12-2025,90.584,90.188,90.652,90.174,,0.37%
12-11-2025,90.251,89.875,90.488,89.846,,0.51%
12-10-2025,89.793,89.908,90.084,89.763,,-0.14%
12-09-2025,89.917,90.13,90.207,89.825,,-0.24%
12-08-2025,90.13,89.962,90.267,89.962,,0.21%
12-05-2025,89.945,89.9,90.076,89.7,,0.12%
12-04-2025,89.837,90.15,90.462,89.726,,-0.37%
12-03-2025,90.171,89.923,90.329,89.857,,0.28%
12-02-2025,89.918,89.606,90.014,89.591,,0.34%
12-01-2025,89.613,89.325,89.8,89.325,,0.29%
11/28/2025,89.357,89.361,89.516,89.316,,-0.01%
11/27/2025,89.365,89.161,89.409,89.116,,0.23%
11/26/2025,89.161,89.17,89.288,89.146,,0.01%
11/25/2025,89.153,89.148,89.274,88.979,,0.01%
11/24/2025,89.148,89.527,89.538,89.063,,-0.55%
11/21/2025,89.641,88.692,89.734,88.602,,1.04%
11/20/2025,88.715,88.487,88.763,88.483,,0.25%
11/19/2025,88.492,88.557,88.623,88.416,,-0.07%
11/18/2025,88.552,88.61,88.697,88.495,,-0.09%
11/17/2025,88.636,88.705,88.748,88.559,,-0.06%
11/14/2025,88.689,88.777,88.808,88.636,,-0.14%
11/13/2025,88.817,88.59,88.831,88.582,,0.26%
11-12-2025,88.59,88.501,88.663,88.499,,0.14%
11-11-2025,88.467,88.707,88.726,88.421,,-0.27%
11-10-2025,88.707,88.65,88.746,88.623,,0.05%
11-07-2025,88.665,88.625,88.731,88.59,,-0.01%
11-06-2025,88.673,88.632,88.693,88.459,,0.13%
11-05-2025,88.557,88.71,88.774,88.545,,-0.20%
11-04-2025,88.732,88.722,88.779,88.332,,0.01%
11-03-2025,88.724,88.722,88.806,88.697,,-0.05%
10/31/2025,88.769,88.637,88.814,88.566,,0.15%
10/30/2025,88.632,88.314,88.765,88.308,,0.25%
10/29/2025,88.408,88.232,88.493,88.141,,0.20%
10/28/2025,88.234,88.223,88.423,88.16,,0.01%
10/27/2025,88.225,87.786,88.311,87.785,,0.44%
10/24/2025,87.836,87.777,87.889,87.63,,0.06%
10/23/2025,87.779,87.716,87.964,87.716,,0.04%
10/22/2025,87.74,88.003,88.003,87.612,,-0.32%
10/21/2025,88.021,87.88,88.092,87.88,,0.17%
10/20/2025,87.875,87.956,88.012,87.738,,-0.15%
10/17/2025,88.003,87.939,88.119,87.716,,0.01%
10/16/2025,87.991,87.754,88.058,87.611,,0.21%
10/15/2025,87.81,88.729,88.799,87.809,,-1.09%
10/14/2025,88.782,88.683,88.827,88.627,,0.13%
10/13/2025,88.665,88.726,88.798,88.564,,-0.10%
10-10-2025,88.757,88.817,88.826,88.494,,-0.12%
10-09-2025,88.866,88.778,88.877,88.694,,0.12%
10-08-2025,88.76,88.759,88.824,88.725,,0.02%
10-07-2025,88.739,88.721,88.785,88.691,,0.02%
10-06-2025,88.721,88.763,88.839,88.695,,-0.02%
10-03-2025,88.735,88.749,88.816,88.664,,0.02%
10-02-2025,88.72,88.669,88.883,88.585,,0.04%
10-01-2025,88.683,88.786,88.856,88.612,,-0.18%
09/30/2025,88.841,88.738,88.877,88.673,,0.15%
09/29/2025,88.704,88.661,88.802,88.624,,0.03%
09/26/2025,88.677,88.774,88.792,88.638,,-0.10%
09/25/2025,88.768,88.732,88.818,88.599,,-0.01%
09/24/2025,88.777,88.79,88.939,88.673,,-0.03%
09/23/2025,88.808,88.304,88.821,88.256,,0.57%
09/22/2025,88.303,88.181,88.346,88.116,,0.23%
09/19/2025,88.1,88.207,88.343,88.052,,-0.12%
09/18/2025,88.206,87.891,88.291,87.834,,0.53%
09/17/2025,87.745,87.879,87.91,87.662,,-0.16%
09/16/2025,87.883,88.069,88.16,87.878,,-0.27%
09/15/2025,88.122,88.279,88.302,88.115,,-0.18%
09-12-2025,88.277,88.298,88.431,88.232,,0.01%
09-11-2025,88.267,88.105,88.499,88.084,,0.24%
09-10-2025,88.054,88.22,88.267,88.021,,-0.22%
09-09-2025,88.248,88.002,88.261,87.949,,0.30%
09-08-2025,87.981,88.153,88.196,87.922,,-0.23%
09-05-2025,88.187,88.125,88.367,88.069,,-0.01%
09-04-2025,88.193,88.079,88.22,87.999,,0.14%
09-03-2025,88.073,88.045,88.195,87.975,,0.09%
09-02-2025,87.998,87.985,88.206,87.825,,0.00%
09-01-2025,88.001,88.175,88.343,87.931,,-0.20%
08/29/2025,88.174,87.591,88.313,87.575,,0.67%
08/28/2025,87.591,87.659,87.696,87.52,,-0.08%
08/27/2025,87.661,87.674,87.883,87.607,,0.03%
08/26/2025,87.635,87.623,87.805,87.582,,0.03%
08/25/2025,87.608,87.31,87.623,87.274,,0.32%
08/22/2025,87.331,87.266,87.551,87.179,,0.04%
08/21/2025,87.294,87.023,87.343,86.926,,0.32%
08/20/2025,87.018,87.073,87.171,86.98,,-0.06%
08/19/2025,87.07,87.297,87.382,86.921,,-0.28%
08/18/2025,87.311,87.545,87.559,87.296,,-0.23%
08/15/2025,87.513,87.692,87.694,87.41,,-0.20%
08/14/2025,87.691,87.471,87.7,87.385,,0.28%
08/13/2025,87.45,87.595,87.727,87.38,,-0.18%
08-12-2025,87.606,87.656,87.761,87.575,,-0.06%
08-11-2025,87.66,87.541,87.763,87.472,,0.20%
08-08-2025,87.489,87.435,87.759,87.435,,0.05%
08-07-2025,87.446,87.715,87.798,87.345,,-0.32%
08-06-2025,87.725,87.785,87.851,87.629,,-0.12%
08-05-2025,87.83,87.977,87.977,87.736,,0.17%
08-04-2025,87.68,87.284,87.727,87.155,,0.50%
08-01-2025,87.245,87.49,87.673,87.17,,-0.32%
07/31/2025,87.524,87.715,87.796,87.501,,-0.19%
07/30/2025,87.691,87.058,87.846,87.05,,0.67%
07/29/2025,87.108,86.77,87.108,86.735,,0.47%
07/28/2025,86.697,86.481,86.725,86.402,,0.22%
07/25/2025,86.503,86.432,86.641,86.405,,0.14%
07/24/2025,86.38,86.401,86.445,86.241,,0.00%
07/23/2025,86.38,86.328,86.471,86.284,,0.07%
07/22/2025,86.322,86.195,86.441,86.18,,0.15%
07/21/2025,86.195,86.134,86.362,86.132,,0.05%
07/18/2025,86.15,86.01,86.244,85.972,,0.13%
07/17/2025,86.035,85.922,86.136,85.796,,0.17%
07/16/2025,85.885,85.959,86.081,85.733,,-0.12%
07/15/2025,85.991,86.009,86.032,85.742,,-0.03%
07/14/2025,86.017,85.824,86.062,85.81,,0.22%
07-11-2025,85.825,85.735,85.921,85.69,,0.09%
07-10-2025,85.749,85.715,85.766,85.533,,0.08%
07-09-2025,85.68,85.76,85.932,85.637,,-0.09%
07-08-2025,85.76,85.778,85.835,85.632,,0.00%
07-07-2025,85.76,85.575,86.043,85.575,,0.31%
07-04-2025,85.497,85.48,85.535,85.307,,0.07%
07-03-2025,85.433,85.559,85.708,85.183,,-0.22%
07-02-2025,85.625,85.617,85.772,85.566,,-0.01%
07-01-2025,85.63,85.7,85.7,85.457,,-0.08%
06/30/2025,85.7,85.479,85.845,85.441,,0.29%
06/27/2025,85.455,85.64,85.681,85.422,,-0.22%
06/26/2025,85.64,86.021,86.055,85.614,,-0.46%
06/25/2025,86.04,85.937,86.148,85.791,,0.11%
06/24/2025,85.944,86.157,86.265,85.899,,-0.73%
06/23/2025,86.58,86.788,86.871,86.571,,0.00%
06/20/2025,86.58,86.684,86.698,86.53,,-0.30%
06/19/2025,86.84,86.416,86.916,86.416,,0.47%
06/18/2025,86.43,86.315,86.573,86.263,,0.13%
06/17/2025,86.318,86.03,86.404,85.89,,0.55%
06/16/2025,85.846,86.149,86.26,85.782,,-0.30%
06/13/2025,86.108,86.164,86.217,85.924,,0.62%
06-12-2025,85.581,85.47,85.665,85.401,,0.13%
06-11-2025,85.468,85.56,85.631,85.412,,-0.15%
06-10-2025,85.596,85.666,85.695,85.505,,-0.09%
06-09-2025,85.67,85.803,85.813,85.466,,-0.14%
06-06-2025,85.786,85.838,86.005,85.621,,-0.06%
06-05-2025,85.835,85.849,85.978,85.663,,-0.05%
06-04-2025,85.875,85.692,86.045,85.651,,0.19%
06-03-2025,85.709,85.392,85.709,85.359,,0.42%
06-02-2025,85.354,85.504,85.594,85.292,,-0.20%
05/30/2025,85.525,85.368,85.653,85.248,,0.12%
05/29/2025,85.419,85.557,85.62,85.386,,0.01%
05/28/2025,85.414,85.519,85.737,85.321,,0.10%
05/27/2025,85.33,85.075,85.464,85.04,,0.28%
05/26/2025,85.088,85.037,85.184,84.785,,-0.13%
05/23/2025,85.2,85.953,86.045,85.111,,-0.92%
05/22/2025,85.995,85.609,86.115,85.53,,0.46%
05/21/2025,85.6,85.537,85.702,85.486,,0.07%
05/20/2025,85.54,85.37,85.659,85.344,,0.18%
05/19/2025,85.39,85.463,85.64,85.336,,-0.13%
05/16/2025,85.5,85.445,85.7,85.252,,-0.05%
05/15/2025,85.546,85.4,85.741,85.348,,0.18%
05/14/2025,85.395,85.038,85.522,85.006,,0.14%
05/13/2025,85.275,84.838,85.48,84.63,,0.46%
05-12-2025,84.885,84.695,84.959,84.592,,-0.61%
05-09-2025,85.409,85.884,85.952,85.284,,-0.15%
05-08-2025,85.536,84.778,85.81,84.528,,0.96%
05-07-2025,84.721,84.647,84.909,84.473,,0.49%
05-06-2025,84.305,84.37,84.637,84.25,,0.01%
05-05-2025,84.295,84.491,84.525,84.114,,-0.27%
05-02-2025,84.527,84.657,84.685,83.765,,-0.07%
05-01-2025,84.59,84.609,84.745,84.552,,-0.01%
04/30/2025,84.599,85.22,85.268,84.466,,-0.65%
04/29/2025,85.155,85.16,85.408,84.945,,-0.01%
04/28/2025,85.163,85.382,85.419,84.949,,-0.26%
04/25/2025,85.385,85.293,85.66,85.085,,0.07%
04/24/2025,85.326,85.515,85.671,85.239,,-0.03%
04/23/2025,85.35,85.221,85.533,85.208,,0.20%
04/22/2025,85.18,85.159,85.239,85.049,,0.01%
04/21/2025,85.17,85.378,85.379,85.025,,-0.30%
04/18/2025,85.429,85.409,85.505,85.39,,0.06%
04/17/2025,85.38,85.602,85.631,85.313,,-0.24%
04/16/2025,85.587,85.713,85.773,85.515,,-0.11%
04/15/2025,85.681,86.023,86.023,85.585,,-0.40%
04/14/2025,86.021,86.036,86.11,85.869,,-0.20%
04-11-2025,86.19,86.244,86.269,85.935,,0.00%
04-10-2025,86.19,86.146,86.334,86.118,,-0.53%
04-09-2025,86.65,86.353,86.751,86.353,,0.48%
04-08-2025,86.24,85.943,86.306,85.812,,0.45%
04-07-2025,85.854,85.611,85.913,85.568,,0.41%
04-04-2025,85.502,85.282,85.641,84.932,,0.30%
04-03-2025,85.247,85.804,85.813,85.203,,-0.24%
04-02-2025,85.45,85.611,85.726,85.432,,-0.14%
04-01-2025,85.57,85.459,85.66,85.451,,0.14%
03/31/2025,85.45,85.459,85.558,85.417,,-0.10%
03/28/2025,85.534,85.68,85.739,85.403,,-0.12%
03/27/2025,85.64,85.795,85.915,85.625,,0.02%
03/26/2025,85.625,85.616,85.895,85.596,,0.05%
03/25/2025,85.583,85.532,85.83,85.531,,0.03%
03/24/2025,85.56,85.99,86.046,85.475,,-0.50%
03/21/2025,85.99,86.325,86.344,85.916,,-0.38%
03/20/2025,86.32,86.337,86.418,86.185,,0.01%
03/19/2025,86.31,86.574,86.675,86.301,,-0.23%
03/18/2025,86.51,86.659,86.783,86.509,,-0.21%
03/17/2025,86.69,86.957,86.973,86.691,,-0.29%
03/14/2025,86.941,86.923,87.004,86.871,,0.05%
03/13/2025,86.897,87.153,87.201,86.923,,-0.29%
03-12-2025,87.15,87.183,87.311,87.149,,-0.03%
03-11-2025,87.176,87.332,87.39,87.141,,-0.13%
03-10-2025,87.29,87.139,87.381,87.138,,0.22%
03-07-2025,87.1,87.149,87.22,86.857,,0.10%
03-06-2025,87.011,86.872,87.166,86.868,,0.15%
03-05-2025,86.88,87.271,87.346,86.876,,-0.43%
03-04-2025,87.255,87.334,87.408,87.134,,-0.01%
03-03-2025,87.26,87.449,87.449,87.239,,-0.24%
02/28/2025,87.466,87.32,87.559,87.266,,0.16%
02/27/2025,87.33,87.108,87.427,87.106,,0.25%
02/26/2025,87.113,87.086,87.192,87.014,,-0.02%
02/25/2025,87.13,86.698,87.263,86.674,,0.54%
02/24/2025,86.66,86.655,86.762,86.506,,0.10%
02/21/2025,86.572,86.509,86.779,86.456,,0.01%
02/20/2025,86.561,86.902,86.926,86.542,,-0.38%
02/19/2025,86.89,86.925,86.958,86.815,,0.03%
02/18/2025,86.867,86.855,86.987,86.837,,0.07%
02/17/2025,86.809,86.676,86.908,86.632,,0.22%
02/14/2025,86.62,86.779,86.905,86.562,,-0.08%
02/13/2025,86.69,86.95,87.014,86.693,,-0.24%
02-12-2025,86.9,86.796,87.034,86.327,,0.13%
02-11-2025,86.789,87.476,87.566,86.639,,-0.78%
02-10-2025,87.469,87.994,87.997,87.429,,-0.18%
02-07-2025,87.627,87.598,87.655,87.309,,0.05%
02-06-2025,87.58,87.336,87.676,87.334,,0.28%
02-05-2025,87.336,87.075,87.501,87.075,,0.31%
02-04-2025,87.07,86.977,87.142,86.948,,0.13%
02-03-2025,86.96,86.916,87.305,86.892,,0.49%
01/31/2025,86.536,86.667,86.682,86.55,,-0.01%
01/30/2025,86.545,86.553,86.661,86.536,,-0.10%
01/29/2025,86.63,86.566,86.648,86.485,,0.05%
01/28/2025,86.584,86.395,86.596,86.391,,0.27%
01/27/2025,86.35,86.244,86.459,86.234,,0.17%
01/24/2025,86.2,86.453,86.478,86.15,,-0.27%
01/23/2025,86.43,86.475,86.531,86.37,,-0.02%
01/22/2025,86.45,86.452,86.601,86.297,,0.00%
01/21/2025,86.452,86.211,86.623,86.211,,0.28%
01/20/2025,86.209,86.564,86.584,86.201,,-0.42%
01/17/2025,86.571,86.61,86.671,86.521,,0.00%
01/16/2025,86.57,86.438,86.648,86.382,,0.22%
01/15/2025,86.38,86.532,86.599,86.298,,-0.17%
01/14/2025,86.525,86.651,86.723,86.47,,-0.14%
01/13/2025,86.646,86.178,86.729,86.094,,0.56%
01-10-2025,86.165,85.922,86.195,85.855,,0.32%
01-09-2025,85.89,85.922,85.947,85.83,,-0.03%
01-08-2025,85.917,85.775,85.943,85.77,,0.13%
01-07-2025,85.803,85.705,85.813,85.649,,0.12%
01-06-2025,85.7,85.816,85.855,85.601,,-0.07%
01-03-2025,85.761,85.836,85.836,85.705,,0.00%
01-02-2025,85.76,85.652,85.798,85.628,,0.13%
01-01-2025,85.645,85.625,85.716,85.625,,0.11%
12/31/2024,85.554,85.538,85.687,85.516,,0.09%
12/30/2024,85.474,85.437,85.605,85.426,,0.10%
12/27/2024,85.388,85.253,85.823,85.229,,0.16%
12/26/2024,85.254,85.201,85.319,85.195,,0.07%
12/25/2024,85.198,85.181,85.21,85.156,,0.03%
12/24/2024,85.176,85.1,85.218,85.075,,0.10%
12/23/2024,85.095,84.96,85.141,84.924,,0.17%
12/20/2024,84.947,85.113,85.113,84.941,,-0.17%
12/19/2024,85.088,85.035,85.148,84.992,,0.26%
12/18/2024,84.867,84.907,84.975,84.84,,-0.04%
12/17/2024,84.902,84.882,84.955,84.877,,0.01%
12/16/2024,84.89,84.846,84.93,84.794,,0.13%
12/13/2024,84.782,84.828,84.896,84.766,,-0.05%
12-12-2024,84.825,84.847,84.902,84.823,,0.04%
12-11-2024,84.795,84.891,84.919,84.799,,-0.10%
12-10-2024,84.88,84.848,84.914,84.775,,0.06%
12-09-2024,84.829,84.704,84.914,84.675,,0.19%
12-06-2024,84.668,84.685,84.718,84.529,,-0.02%
12-05-2024,84.684,84.713,84.757,84.673,,-0.01%
12-04-2024,84.693,84.69,84.776,84.644,,0.02%
12-03-2024,84.676,84.726,84.8,84.63,,-0.08%
12-02-2024,84.74,84.572,84.761,84.56,,0.21%
11/29/2024,84.559,84.476,84.64,84.459,,0.13%
11/28/2024,84.445,84.441,84.524,84.432,,0.04%
11/27/2024,84.41,84.318,84.479,84.315,,0.11%
11/26/2024,84.319,84.271,84.366,84.225,,0.07%
11/25/2024,84.26,84.408,84.438,84.238,,-0.20%
11/22/2024,84.426,84.5,84.523,84.401,,-0.08%
11/21/2024,84.495,84.367,84.522,84.359,,0.16%
11/20/2024,84.36,84.411,84.419,84.34,,-0.04%
11/19/2024,84.39,84.402,84.44,84.371,,-0.01%
11/18/2024,84.398,84.444,84.461,84.371,,-0.03%
11/15/2024,84.424,84.473,84.483,84.411,,-0.04%
11/14/2024,84.461,84.422,84.49,84.384,,0.05%
11/13/2024,84.416,84.38,84.432,84.36,,0.04%
11-12-2024,84.38,84.381,84.428,84.364,,0.00%
11-11-2024,84.379,84.375,84.429,84.357,,-0.02%
11-08-2024,84.395,84.312,84.401,84.302,,0.12%
11-07-2024,84.293,84.311,84.395,84.26,,-0.02%
11-06-2024,84.31,84.115,84.355,84.115,,0.24%
11-05-2024,84.109,84.151,84.18,84.088,,-0.02%
11-04-2024,84.13,84.057,84.149,84.051,,0.06%
11-01-2024,84.08,84.078,84.111,84.038,,0.02%
10/31/2024,84.061,84.094,84.142,84.06,,-0.02%
10/30/2024,84.08,84.063,84.11,84.056,,0.04%
10/29/2024,84.05,84.092,84.102,84.043,,-0.01%
10/28/2024,84.06,84.087,84.1,84.054,,-0.04%
10/25/2024,84.095,84.089,84.11,84.055,,0.05%
10/24/2024,84.05,84.093,84.1,84.05,,-0.01%
10/23/2024,84.056,84.108,84.115,84.056,,-0.02%
10/22/2024,84.07,84.075,84.104,84.054,,0.00%
10/21/2024,84.07,84.08,84.094,84.037,,0.01%
10/18/2024,84.065,84.045,84.092,84.028,,0.04%
10/17/2024,84.035,84.043,84.083,83.995,,0.01%
10/16/2024,84.03,84.052,84.103,83.975,,-0.01%
10/15/2024,84.04,84.065,84.087,84.015,,-0.01%
